Country;Area;Waterbody Type;Date;Ammonia (mg/l);Biochemical Oxygen Demand (mg/l);Dissolved Oxygen (mg/l);Orthophosphate (mg/l);pH (ph units);Temperature (cel);Nitrogen (mg/l);Nitrate (mg/l);CCME_Values;CCME_WQI
Canada;HU04FV12;River;12/01/1991;0.2677752;226.087;11.4;0.823333;81.875;136.727;3.07;1.571.585;6.678.366.607.562.610;Fair
Canada;HU04FV12;River;12/01/1992;1.394.904;3.088;11.52;0.136;82.666;12.625;3.53;5.378.805;8.113.453.654.808.250;Good
Canada;FRDR06073500;River;12/01/1993;0.718704;9.66;7.65;0.01;80.923;129.083;0.3904;1.890.329;8.562.367.629.975.560;Good
Canada;LTR133;River;02/12/1993;0.56672;3.8;10.1;0.065;7.79;12.0;0.4;17.708;862.432.848.445.066;Good
Canada;FRDR06073500;River;12/01/1994;0.39928;5.2;8.59;0.31;81.487;132.833;1.054;2.107.252;812.653.775.583.015;Good
Canada;HU04FV12;River;12/01/1995;0.0644;2.11;8.2;0.14;82.229;10.45;0.5;2.456.985;8.985.046.233.665.670;Good
Canada;FRDR06073500;River;12/01/1996;0.36064;3.56;11.5;0.26;82.495;8.9;12.027;2.315.321;8.355.727.001.622.000;Good
Canada;FR05136000;River;12/01/1997;0.23184;4.06;11.684.103.383.014.400;0.25;73.451;13.625;15.944;2.315.321;8.404.241.344.132.310;Good
Canada;FR05158000;River;12/01/1998;0.1728496;3.71;9.6;0.2;79.151;12.0;0.6;230.204;8.659.700.897.114.690;Good
Canada;IENB_06D010600;River;12/01/1999;0.048944;3.62;8.14;0.14;796.154;16.9;162.526;2.164.803;8.985.046.233.665.670;Good
Canada;ATFW40712027;River;12/01/2000;0.01932;3.45;8.44;0.21;8.05;120.417;155.149;2.142.668;8.606.998.041.056.370;Good
Canada;ATFW40814017;River;12/01/2001;0.04792429;220.833;8.97;0.2;79.951;16.7;4.2;2.235.635;8.659.700.897.114.690;Good
Canada;ATFW73229907;River;12/01/2002;0.0;0.0;11.684.103.383.014.400;0.02608;77.412;18.6;7.272;13.949.477;100.0;Excellent
Canada;ATFW40711027;River;12/01/2003;0.0356776;3.385;108.408;0.0278;82.244;121.667;6.234;33.702.751;100.0;Excellent
Canada;BAU6;River;08/06/2003;0.11914;2.05;101.625;0.0855;79.325;12.0;0.4;59.211.125;9.246.997.189.931.460;Good
Canada;SE643167-140119;River;02/12/2003;0.078568;213.333;14.13;0.009;7.0;12.0;0.594;583.682;9.319.551.578.193.860;Good
Canada;ATFW73229907;River;12/01/2004;0.108836;2.925;109.283;0.0495;789.646;16.2;8.015;38.771.666;100.0;Excellent
Canada;BATR1;River;08/06/2004;0.18676;2.575;96.825;0.1225;7.585;12.0;0.4;47.479.575;9.077.816.570.064.020;Good
Canada;ATFW73225917;River;12/01/2005;0.1555904;26.875;91.333;0.0482;786.778;16.8;214.786;36.066.769;100.0;Excellent
Canada;ATFW73320907;River;12/01/2006;0.01288;0.95;10.42;0.149167;804.636;9.125;0.831333;36.190.725;8.935.288.546.058.810;Good
Canada;LVV0270200;River;12/01/2007;0.434162904;2.0;103.706;0.05;78.283;94.167;162.727;711.135.572;100.0;Excellent
Canada;FRDR06196500;River;08/06/2007;0.1;1.85;8.4;0.0383333;8.1;22.2;0.4;583.682;100.0;Excellent
Canada;IT01804010;River;12/01/2008;0.004293329;618.182;121.933;0.0;747.917;11.5;19.105;2.463.023.428;9.319.410.817.362.900;Good
Canada;BAU13;River;10/04/2008;0.05152;25.125;973.333;0.015375;7.79;21.775;0.4;22.245.675;100.0;Excellent
Canada;IT06UD24;River;12/01/2009;0.0322;30.0;10.5;0.0075;80.075;14.225;0.65125;12.639.085;8.404.241.344.132.310;Good
Canada;BAB02;River;10/04/2009;240.254.504;853.333;507.667;0.0213333;8.105;22.8;0.4;491.397;7.971.649.585.769.390;Fair
Canada;FISW_778;River;08/06/2009;0.05152;4.35;93.714;0.061;8.1;12.7;0.4;1.173.155;9.311.672.543.579.720;Good
Canada;IT06UD59;River;12/01/2010;0.0483;1.18;9.4;0.0383333;8.0;0.8;0.812;978.367;9.146.898.321.188.370;Good
Canada;BAB02;River;10/04/2010;331.444.904;7.54;103.333;0.1625;80.775;21.65;0.4;2.561.758.809;6.900.188.830.316.390;Fair
Canada;BAB7;River;11/09/2010;0.036064;2.585;9.23;0.074;7.93;13.65;0.4;522.386;9.284.246.772.450.190;Good
Canada;FISW_23;River;02/12/2010;0.274344;213.333;13.0;0.057;7.29;0.125;1.176;583.682;9.316.316.314.225.970;Good
Canada;IT06UD59;River;12/01/2011;0.10304;4.0;9.55;0.0345;815.092;101.333;17.675;869.573.475;92.023.371.984.326;Good
Canada;BERW_12181;River;12/03/2018;0.193;2.0;10.29;0.148;8.1;12.13;0.4;23.531;8.941.646.843.438.910;Good
Canada;BASAN_4-20;River;10/04/2011;0.124936;1.36;9.8;0.0;8.2;18.6;0.4;1.846.059;100.0;Excellent
Canada;IT22SG000021;River;12/01/2012;0.028101842;3.524;98.875;0.01;7.8;10.25;1.15;784.787.571;100.0;Excellent
Canada;BERW_04130;River;12/03/2018;0.027;1.4;10.64;0.05;8.24;11.24;0.4;21.893;100.0;Excellent
Canada;SE660945-156129;River;12/01/1968;0.183646904;1.9;9.824;0.104;7.79;12.0;0.856333;583.682;916.918.289.845.143;Good
