ugrhi,macro_land_use,measurement_points,ph,do,bod,tc,tn,tp,ts,turb,temp,wqi,classification
5,industrial,CPIV02900,7.1,2.0,14,110000,6.35,0.455,261,72,22.0,27,bad
5,industrial,CPIV02900,6.9,1.8,7,80000,5.57,0.473,176,23,18.0,33,bad
5,industrial,CPIV02900,7.1,0.8,15,500000,7.09,0.69,215,43,18.0,23,bad
5,industrial,CPIV02900,7.2,1.7,7,30000,7.78,0.467,174,31,23.2,33,bad
5,industrial,CPIV02900,7.2,2.7,6,13000,5.47,0.422,173,33,19.0,39,medium
5,industrial,CPIV02900,7.0,4.6,9,230000,5.67,0.33,265,45,20.0,36,bad
5,industrial,CPIV02900,7.4,0.7,15,500000,8.86,0.636,301,19,24.0,24,bad
5,industrial,CPIV02900,7.1,1.4,10,50000,5.31,0.389,286,35,21.0,30,bad
5,industrial,CPIV02900,7.3,0.6,12,8000,11.44,0.854,368,39,20.0,30,bad
5,industrial,CPIV02900,7.5,1.3,13,17000,13.11,0.98,327,29,21.0,32,bad
5,industrial,CPIV02900,7.2,0.2,37,790000,11.21,0.02,594,227,19.5,16,very_bad
5,industrial,CPIV02900,6.9,1.5,29,130000,9.6,0.7,453,78,21.0,20,bad
5,industrial,CPIV02900,7.3,1.9,7,7900,11.34,2.0,239,21,18.0,32,bad
5,industrial,CPIV02900,6.8,3.9,12,70000,5.1,0.4,323,32,18.0,39,medium
5,industrial,CPIV02900,4.6,6.7,18,92000,4.1,0.6,345,145,18.0,25,bad
5,industrial,CPIV02900,7.1,1.7,5,64000,15.06,2.0,228,20,18.0,28,bad
5,industrial,CPIV02900,7.2,2.4,9,13000,10.4,2.0,253,16,17.0,31,bad
5,industrial,CPIV02900,7.3,4.0,8,1300,12.1,0.02,228,12,18.0,51,medium
5,industrial,CPIV02900,6.7,4.9,9,106667,2.96,0.314,719,529,19.0,32,bad
5,industrial,CPIV02900,7.2,2.0,29,8167,14.17,1.0,252,19,20.0,27,bad
5,industrial,CPIV02900,7.4,0.8,21,866667,26.21,3.0,356,14,21.3,18,very_bad
5,industrial,CPIV02900,7.3,2.7,8,7500,17.3,1.0,312,14,21.0,35,bad
5,industrial,CPIV02900,7.3,4.1,6,33333,14.6,0.7,260,17,19.5,38,medium
5,industrial,CPIV02900,7.3,4.1,6,33333,14.6,0.7,260,17,19.5,38,medium
5,industrial,CPIV02900,7.5,3.3,8,5667,21.61,2.0,318,6,20.4,35,bad
5,industrial,CPIV02900,7.3,1.45,19,1333333,14.92,1.0,319,15,18.5,23,bad
5,industrial,CPIV02900,7.4,0.6,16,210000,13.62,1.25,272,46,16.0,20,bad
5,industrial,CPIV02900,7.1,1.8,8,5000,4.65,0.528,186,32,19.0,37,medium
5,industrial,CPIV02900,7.3,1.6,19,300000,7.19,0.99,213,35,17.0,24,bad
